neighborhood,year,sale_price_sqr_foot,housing_units,gross_rent,Lat,Lon
Alamo Square,2013.0,366.0207115322765,378401.0,2817.285714285714,37.791012,-122.4021
Anza Vista,2013.3333333333333,373.382197826477,379050.0,3031.8333333333335,37.779598,-122.443451
Bayview,2012.0,204.58862288246596,376454.0,2318.4,37.73467,-122.40106
Bayview Heights,2015.0,590.7928388746803,382295.0,3739.0,37.72874,-122.41098
Bernal Heights,2013.5,576.7464881132382,379374.5,3080.3333333333335,37.72863,-122.44305000000001
Buena Vista Park,2012.8333333333333,452.6805909308441,378076.5,2698.8333333333335,37.76816,-122.43933
Central Richmond,2013.0,394.42239878005887,378401.0,2817.285714285714,37.77789,-122.44517
Central Sunset,2013.0,423.68792770158234,378401.0,2817.285714285714,37.74961,-122.48999
Clarendon Heights,2012.0,487.2448860262576,376454.0,2250.5,37.75331,-122.44703
Corona Heights,2012.4,587.5390673661739,377232.8,2472.0,37.78553,-122.45599999999999
Cow Hollow,2013.0,665.9640415783227,378401.0,2817.285714285714,37.79298,-122.43579
Croker Amazon,2012.8333333333333,303.0041844084943,378076.5,2698.8333333333335,37.7228,-122.43869
Diamond Heights,2011.5,434.9917394452212,375480.5,2016.0,37.72863,-122.44305
Downtown,2013.0,391.43437776742576,378401.0,2817.285714285714,37.79100999999999,-122.4021
Duboce Triangle,2013.0,502.59915555623616,378401.0,2780.25,37.76964,-122.42611
Eureka Valley/Dolores Heights,2013.0,642.2486706357391,378401.0,2817.285714285714,37.75554,-122.43779000000002
Excelsior,2013.3333333333333,388.7659270023075,379050.0,3031.8333333333335,37.72874,-122.41098
Financial District North,2013.0,391.36253308010487,378401.0,2817.285714285714,37.79100999999999,-122.4021
Financial District South,2012.4,455.83621223779153,377232.8,2472.0,37.79101,-122.40209999999999
Forest Knolls,2011.0,321.8408365739874,374507.0,1781.5,37.75706,-122.45509
Glen Park,2013.1666666666667,623.8261775374349,378725.5,2899.5,37.72863,-122.44305000000001
Golden Gate Heights,2012.6,639.3935574881156,377622.2,2601.4,37.757912,-122.46402
Haight Ashbury,2013.0,449.5447622856192,378401.0,2817.285714285714,37.76525,-122.43596
Hayes Valley,2013.0,355.93282794805776,378401.0,2817.285714285714,37.76525,-122.43596
Hunters Point,2012.5,170.62491987132685,377427.5,2489.0,37.72551,-122.37178
Ingleside,2012.5,367.8951440852775,377427.5,2509.0,37.721161,-122.487068
Ingleside Heights,2013.5,384.7979281346047,379374.5,2960.0,37.72116,-122.48707
Inner Mission,2013.0,397.67371473613446,378401.0,2817.285714285714,37.75416,-122.41947
Inner Parkside,2013.75,519.3856038526768,379861.25,3224.0,37.74961,-122.48999
Inner Richmond,2013.0,378.5943139613646,378401.0,2817.285714285714,37.769112,-122.483566
Inner Sunset,2013.0,413.66751546215943,378401.0,2817.285714285714,37.74961,-122.48997
Jordan Park/Laurel Heights,2013.0,529.3841850673388,378401.0,2817.285714285714,37.78553,-122.456
Lake --The Presidio,2012.5,409.95435219297514,377427.5,2555.1666666666665,37.80152,-122.45457
Lone Mountain,2012.5,478.2285530213679,377427.5,2555.1666666666665,37.7789,-122.45495999999999
Lower Pacific Heights,2013.0,539.237968878326,378401.0,2817.285714285714,37.79298,-122.43579
Marina,2013.0,583.7492694814548,378401.0,2817.285714285714,37.79972,-122.46689
Merced Heights,2014.0,788.8448175872469,380348.0,3414.0,37.71993,-122.46595
Midtown Terrace,2012.5,550.5103482917151,377427.5,2647.5,37.75331,-122.44703
Miraloma Park,2011.75,779.810842264425,375967.25,2155.25,37.73415,-122.457
Mission Bay,2012.6666666666667,566.1922135483312,377752.0,2663.6666666666665,37.78323,-122.40065
Mission Dolores,2012.5,418.9156225067234,377427.5,2555.1666666666665,37.75184,-122.42522000000001
Mission Terrace,2013.6,523.4662013248023,379569.2,3173.4,37.72863,-122.44305
Nob Hill,2013.0,458.2040944846015,378401.0,2817.285714285714,37.79298,-122.43579
Noe Valley,2013.0,542.4429128151736,378401.0,2817.285714285714,37.75331,-122.44703
North Beach,2013.4,411.646875881678,379179.8,2990.8,37.80055,-122.40433
North Waterfront,2013.0,498.2697550078768,378401.0,2818.4,37.80055,-122.40433
Oceanview,2012.3333333333333,330.0973846552545,377103.0,2434.0,37.71993,-122.46595
Outer Mission,2013.5,242.37095202049665,379374.5,2995.75,37.7228,-122.43869
Outer Parkside,2013.0,485.0270126111035,378401.0,2817.285714285714,37.75169999999999,-122.446
Outer Richmond,2013.0,473.90077331796317,378401.0,2817.285714285714,37.76911,-122.48357
Outer Sunset,2013.0,394.21903228550775,378401.0,2817.285714285714,37.74961,-122.48999
Pacific Heights,2013.0,689.5558168113664,378401.0,2817.285714285714,37.79298,-122.43579
Park North,2013.0,373.73285637176303,378401.0,2817.285714285714,37.72838,-122.47851
Parkside,2012.5,336.172661037069,377427.5,2555.1666666666665,37.74961,-122.48998999999999
Parnassus/Ashbury Heights,2013.0,632.740453508577,378401.0,2817.285714285714,37.76355,-122.45764999999999
Portola,2012.0,327.11392534647274,376454.0,2318.4,37.73467,-122.40106
Potrero Hill,2013.0,662.0136128276529,378401.0,2817.285714285714,37.73196,-122.38324
Presidio Heights,2013.0,675.3502120510033,378401.0,2817.285714285714,37.78553,-122.456
Russian Hill,2013.0,608.9832172374425,378401.0,2817.285714285714,37.79298,-122.43579
Silver Terrace,2014.0,170.2925485152069,380348.0,3528.0,37.73467,-122.40106
South Beach,2011.6666666666667,650.1244791945729,375805.0,2099.0,37.78323,-122.40065
South of Market,2013.0,570.2714266991686,378401.0,2817.285714285714,37.79100999999999,-122.4021
Sunnyside,2013.1666666666667,528.3183317138463,378725.5,2899.5,37.73415,-122.457
Telegraph Hill,2013.0,676.5065775293257,378401.0,2817.285714285714,37.80055,-122.40433
Twin Peaks,2013.0,469.39862649935156,378401.0,2817.285714285714,37.753311,-122.447029
Union Square District,2012.5,903.9932576720645,377427.5,2555.1666666666665,37.79101,-122.4021
Van Ness/ Civic Center,2013.0,404.1501801622257,378401.0,2817.285714285714,37.77951,-122.42022
Visitacion Valley,2014.5,301.46617997450267,381321.5,3657.0,37.72874,-122.41098
West Portal,2012.25,498.4884848295011,376940.75,2515.5,37.74026,-122.46388
Western Addition,2012.5,307.5622009799607,377427.5,2555.1666666666665,37.79298,-122.43579
Westwood Highlands,2012.0,533.7039354359513,376454.0,2250.5,37.7347,-122.456854
Westwood Park,2015.0,687.0875745178322,382295.0,3959.0,37.73415,-122.457
Yerba Buena,2012.5,576.709848378276,377427.5,2555.1666666666665,37.79298,-122.39636
